datetimeutc,co,no,no2,nox,o3,pm10,pm25,relativehumidity,so2,temperature,wind_direction,wind_speed
2026-03-29T00:15:00Z,1.0921666666666667,16.875,49.86083333333334,0.040225,16.8525,246.1783333333333,111.8675,63.720909090909096,15.626,24.246363636363636,190.67636363636365,0.6309090909090909
2026-03-29T00:30:00Z,0.8931818181818181,15.655833333333334,47.810833333333335,0.038146666666666634,16.34,255.9141666666667,118.25583333333333,63.028181818181814,15.409999999999998,24.319090909090907,204.82363636363635,0.620909091
2026-03-29T00:45:00Z,0.9654545454545453,16.598181818181818,46.29454545454546,0.038126364,16.37363636363636,260.11727272727273,121.28727272727274,63.2,15.62,24.73,198.8,0.78
2026-03-29T01:00:00Z,1.0299090909090909,13.987499999999999,47.321666666666665,0.036535,19.165,255.4075,119.03333333333335,61.54636363636364,15.069090909090908,24.665454545454544,188.47363636363636,0.7145454545454546
2026-03-29T01:15:00Z,1.0975833333333334,12.439166666666667,45.449999999999996,0.034286667,20.352500000000003,237.3575,119.4425,61.13909091,15.311818181818182,24.836363636363636,173.47,0.8354545454545454
2026-03-29T01:30:00Z,1.0834166666666667,10.313333333333334,45.79833333333334,0.032748333333333324,20.471666666666668,232.43916666666667,116.75833333333333,60.402727272727276,15.035454545454543,25.10818181818182,190.39454545454547,0.729090909
2026-03-29T01:45:00Z,1.1190909090909091,10.263636363636364,48.309999999999995,0.034036364,19.84,235.60454545454547,119.80090909090909,61,16.03,25.53,187.1,0.61
2026-03-29T02:00:00Z,1.0600833333333333,10.565833333333334,47.79,0.034009167,46.26666666666667,232.04,116.5425,58.89363636363637,15.294545454545455,25.828181818181818,198.9081818181818,0.7381818181818182
2026-03-29T02:15:00Z,1.1078181818181818,9.849166666666667,44.95583333333334,0.031920833,36.53333333333333,239.45333333333335,113.42916666666667,57.38090909090909,15.322727272727274,26.346363636363638,185.92,1.1454545454545455
2026-03-29T02:30:00Z,1.0614999999999999,9.650833333333333,41.86333333333334,0.030110833333333323,48.20416666666667,238.26583333333335,113.41333333333334,55.75272727272727,15.82090909090909,26.779999999999998,176,1.5836363636363637
2026-03-29T02:45:00Z,1.1404545454545454,9.115833333333333,37.916666666666664,0.027587499999999984,58.218333333333334,237.48416666666665,113.06583333333333,54.845454545454544,16.529090909090908,27.03818181818182,179.39818181818183,1.750909090909091
2026-03-29T03:00:00Z,0.9663636363636364,9.877272727272727,32.68363636363636,0.025459091,42.22272727272727,242.46,115.71363636363635,54.8,18.6,27.4,169.5,1.9600000000000002
2026-03-29T03:15:00Z,1.0553636363636363,9.450000000000001,36.88090909090909,0.027192727272727257,63.61090909,235.0090909090909,108.92727272727274,52.61000000000001,17.55909090909091,27.60818181818182,168.67363636363638,2.2100000000000004
2026-03-29T03:30:00Z,1.3442,11.658,25.594,0.023104000000000003,62.032000000000004,200.56199999999998,100.76599999999999,48.055,26.5525,26.2475,159.025,2.6025
2026-03-29T03:45:00Z,0.7342857142857143,7.57,29.30875,0.021752499999999973,50.655,207.48375,93.78,50.714285714285715,11.557142857142859,29.942857142857143,187.85714285714286,2.3857142857142857
2026-03-29T04:00:00Z,0.915,9.049166666666666,28.444999999999997,0.022465833333333324,57.07916666666667,212.07416666666666,98.56833333333333,48.060909090909085,18.34181818181818,29.13272727272727,181.4409090909091,2.523636363636364
2026-03-29T04:15:00Z,0.9003333333333333,8.426666666666668,26.738333333333333,0.021084999999999993,63.03545454545454,189.58333333333334,84.4675,46.68636363636363,19.162,29.60636363636364,174.35454545454547,2.8027272727272727
2026-03-29T04:30:00Z,0.9372727272727274,7.603333333333333,26.555833333333336,0.020335833333333317,70.38250000000001,187.46666666666667,73.74249999999999,45.86090909,18.215454545454545,29.96272727272727,187.4881818181818,2.9536363636363636
2026-03-29T04:45:00Z,0.8436363636363637,6.539090909,23.01090909090909,0.017570909,68.18363636363637,189.7890909090909,79.28,46,17.9,30.53,174.8,2.91
2026-03-29T05:00:00Z,0.9379166666666667,8.109090909,23.32166666666667,0.018069999999999985,72.60000000000001,189.5525,74.92416666666666,44.056363636363635,18.10181818181818,30.612727272727273,197.51545454545456,2.888181818181818
2026-03-29T05:15:00Z,0.9587,5.6339999999999995,25.19545454545454,0.01719,71.82363636363637,192.34545454545457,63.58181818181818,43.690000000000005,18.366363636363637,30.69454545454545,191.23090909090908,2.6763636363636363
2026-03-29T05:30:00Z,0.8444166666666666,5.665,22.855833333333333,0.016764167,78.97083333333333,175.81545454545454,56.3,43.165454545454544,18.37090909090909,31.03818181818182,183.4,2.5545454545454547
2026-03-29T05:45:00Z,0.7563636363636363,5.962727272727273,20.366363636363637,0.015683636363636354,78.41636363636364,176.493,59.729,43.6,18.919999999999998,31.5,182.5,2.43
2026-03-29T06:00:00Z,0.81475,6.076666666666667,23.476666666666663,0.017424999999999993,76.1375,175.10090909090908,55.42272727272727,41.621818181818185,18.83,31.73818181818182,195.7027272727273,2.4154545454545455
2026-03-29T06:15:00Z,0.8118333333333333,6.280833333333334,22.010833333333334,0.016814167,78.51833333333333,164.33545454545455,48.71545454545455,40.88,18.219,32.11,185.67,2.62
2026-03-29T06:30:00Z,0.7848333333333333,5.800833333333333,21.747500000000002,0.016282500000000002,80.24249999999999,159.395,47.0075,40.299090909090914,17.724545454545453,32.349090909090904,191.5481818181818,2.5072727272727273
2026-03-29T06:45:00Z,0.7973333333333333,6.816666666666666,22.579166666666666,0.0175175,80.89166666666667,158.495,46.61666666666667,39.57454545454545,17.64909090909091,32.69,167.3,2.402727272727273
2026-03-29T07:00:00Z,0.8437272727272728,4.878333333333333,19.080833333333334,0.014097499999999973,85.0475,157.31666666666666,47.14666666666667,39.50545454545455,17.715454545454545,32.87,193.24454545454546,2.4763636363636365
2026-03-29T07:15:00Z,0.8223636363636363,6.726666666666667,19.55,0.015852500000000002,84.595,145.37333333333333,44.637499999999996,39.199999999999996,16.594545454545457,33.29,180.32,2.3190909090909093
2026-03-29T07:30:00Z,0.8412000000000001,6.670833333333333,19.038333333333334,0.015543333333333317,84.42666666666666,144.4227272727273,43.192499999999995,38.81727272727273,16.266363636363636,33.51,185.48909090909092,1.9590909090909092
2026-03-29T07:45:00Z,0.7110909090909091,11.181666666666667,23.7,0.021688333333333334,85.04333333333334,144.54333333333332,42.5775,38.77090909090909,16.62909090909091,33.95363636363636,175.83636363636364,1.8590909090909091
2026-03-29T08:00:00Z,0.7199,5.6025,18.71833333333333,0.014519999999999976,84.59416666666667,144.38916666666668,42.2275,38.75818181818182,16.44818181818182,33.89545454545455,182.5909090909091,1.6827272727272728
2026-03-29T08:15:00Z,0.7559,7.96,20.775000000000002,0.0175225,80.84583333333333,138.27333333333334,38.1575,38.265454545454546,16.983636363636364,34.22909090909091,184.74363636363637,1.5618181818181818
2026-03-29T08:30:00Z,0.7646666666666666,6.994,17.846,0.015172999999999989,78.886,142.277,35.873000000000005,39.79,20.9425,33.84888888888889,197.22,1.5133333333333332
2026-03-29T08:45:00Z,0.7808181818181819,6.214166666666666,18.6675,0.014990833333333316,85.33916666666666,139.4625,35.8525,38.13454545454545,18.761000000000003,34.31545454545455,191.23545454545456,1.3472727272727274
2026-03-29T09:00:00Z,0.717,4.367272727272728,13.9,0.010929091,84.03181818181818,139.77,37.14909090909091,39.2,18.87777777777778,34.63,186,1.24
2026-03-29T09:15:00Z,0.9064545454545455,5.561666666666667,17.326666666666664,0.013733333333333307,91.51166666666666,144.475,32.49636363636363,38.16090909090909,18.544,34.197272727272725,175.9781818181818,1.3390909090909089
2026-03-29T09:30:00Z,0.8780909090909091,5.403333333333333,16.969166666666666,0.013417499999999983,82.345,159.0975,33.17583333333334,38.85,18.284,33.799090909090914,180.2490909090909,1.2363636363636366
2026-03-29T09:45:00Z,0.8934545454545454,5.72,17.416666666666668,0.013925,81.53916666666667,159.75333333333333,33.23416666666667,39.53090909090909,17.886000000000003,33.595454545454544,169.9,1.3272727272727272
2026-03-29T10:00:00Z,0.8675454545454546,5.895833333333333,18.046666666666667,0.014388333333333324,78.10333333333334,158.80583333333334,33.475833333333334,39.56454545454545,16.848,33.760000000000005,164,1.2354545454545454
2026-03-29T10:15:00Z,0.8169090909090909,5.636666666666667,18.525000000000002,0.014438333333333317,81.46249999999999,170.78583333333333,35.05833333333333,38.78545454545454,15.115555555555554,34.08909090909091,187.45181818181817,1.6600000000000001
2026-03-29T10:30:00Z,0.8221818181818182,5.646666666666667,17.650000000000002,0.013959167,84.95909091,177.04999999999998,38.6075,38.554545454545455,14.876,34.14272727272727,186.97454545454548,1.6554545454545455
2026-03-29T10:45:00Z,0.8403636363636363,5.8758333333333335,19.164166666666667,0.014974999999999994,86.27666666666666,176.7775,37.68,38.83,15.277000000000001,33.81090909090909,198.9572727272727,1.7745454545454544
